dsrc,security,timestamp,level,last,bid,bid1,bid2,bid3,bid4,ask,ask1,ask2,ask3,ask4,bz,bz1,bz2,bz3,bz4,az,az1,az2,az3,az4,volume,acc_volume,turnover,acc_turnover
1,1,100000,5,4584.0,4581.0,4580.0,4579.0,4578.0,4577.0,4584.0,4585.0,4586.0,4587.0,4588.0,3,494,8,51,143,280,626,23,2,165,0,5167,0.0,236889600.0
1,1,100000,5,4580.0,4578.0,4575.0,4574.0,4573.0,4572.0,4581.0,4582.0,4583.0,4584.0,4585.0,8,44,20,81,193,187,542,260,1039,709,1873,7040,85782100.0,322671700.0
1,1,100000,5,4578.0,4576.0,4574.0,4573.0,4572.0,4571.0,4578.0,4579.0,4580.0,4581.0,4582.0,2,8,11,26,20,74,67,534,451,591,2343,9383,107170360.0,429842060.0
1,1,100000,5,4571.0,4571.0,4570.0,4569.0,4567.0,4566.0,4572.0,4573.0,4574.0,4575.0,4576.0,20,12,20,5,165,1,3,24,75,151,1495,10878,68371490.0,498213550.0
1,1,100000,5,4574.0,4573.0,4572.0,4571.0,4570.0,4569.0,4574.0,4575.0,4576.0,4577.0,4578.0,298,1,6,4,10,20,55,135,139,252,1657,12535,75715170.0,573928720.0
1,1,100000,5,4574.0,4574.0,4573.0,4572.0,4571.0,4570.0,4575.0,4576.0,4577.0,4578.0,4579.0,46,376,37,12,8,2,30,17,288,172,1064,13599,48674040.0,622602760.0
1,1,100000,5,4575.0,4575.0,4574.0,4573.0,4572.0,4571.0,4576.0,4577.0,4578.0,4579.0,4580.0,230,362,446,251,16,1,1,231,173,229,1135,14734,51932610.0,674535370.0
1,1,100000,5,4575.0,4575.0,4574.0,4573.0,4572.0,4571.0,4576.0,4577.0,4578.0,4579.0,4580.0,87,432,451,295,18,17,9,170,4,227,1200,15934,54911060.0,729446430.0
1,1,100000,5,4577.0,4576.0,4575.0,4574.0,4573.0,4572.0,4578.0,4579.0,4580.0,4581.0,4582.0,72,176,414,457,393,69,6,230,502,18,384,16318,17574070.0,747020500.0
1,1,100000,5,4577.0,4576.0,4575.0,4574.0,4573.0,4572.0,4577.0,4580.0,4581.0,4582.0,4583.0,97,231,402,457,401,22,208,501,19,134,317,16635,14509920.0,761530420.0
1,1,100000,5,4577.0,4576.0,4575.0,4574.0,4573.0,4572.0,4577.0,4578.0,4580.0,4581.0,4582.0,269,259,398,411,402,16,10,206,501,19,219,16854,10024130.0,771554550.0
1,1,100000,5,4577.0,4578.0,4577.0,4576.0,4575.0,4574.0,4580.0,4581.0,4582.0,4583.0,4584.0,1,76,381,262,396,147,498,20,127,1220,200,17054,9156250.0,780710800.0
1,1,100000,5,4578.0,4578.0,4577.0,4576.0,4575.0,4574.0,4579.0,4580.0,4581.0,4582.0,4583.0,15,57,288,249,403,14,154,488,19,127,381,17435,17438930.0,798149730.0
1,1,100000,5,4577.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,267,302,237,400,408,57,322,158,487,19,400,17835,18313540.0,816463270.0
1,1,100000,5,4577.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,308,265,257,396,411,11,321,158,491,19,394,18229,18036850.0,834500120.0
1,1,100000,5,4579.0,4577.0,4576.0,4575.0,4574.0,4573.0,4579.0,4580.0,4581.0,4582.0,4583.0,254,280,252,396,411,141,148,490,19,129,690,18919,31588850.0,866088970.0
1,1,100000,5,4578.0,4577.0,4576.0,4575.0,4574.0,4573.0,4578.0,4579.0,4580.0,4581.0,4582.0,143,277,247,396,411,151,4,148,488,19,593,19512,27147920.0,893236890.0
1,1,100000,5,4580.0,4579.0,4578.0,4577.0,4576.0,4575.0,4580.0,4581.0,4582.0,4583.0,4584.0,1,103,15,271,275,123,447,19,129,1212,451,19963,20645390.0,913882280.0
